Customer_ID,Name,Gender,Age,City,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email,Phone_Number,Country
CUST0044,Jessica Medina,Male,29,Chennai,2022-04-25,2025-03-24,7110,4.0,amberavila@perkins.net,666.847.9017x5550,
CUST0045,Ashley Garcia,Female,,Indore,2024-11-14,2025-12-18,₹9179,1.0,adamsjohn@yahoo.com,(863)535-9280,India
CUST0046,Steven Mcdowell,Female,,Pune,2024-02-18,2026-03-08,₹4872,1.0,wrong_email.com,242.301.8682x00372,
CUST0047,Charles Brewer,Other,Age is 55 years,Pune,2022-01-28,2026-02-10,,3.0,jefferymccarthy@yahoo.com,(949)511-4383x516,Canada
CUST0048,Mary Arnold,Other,Age is 20 years,Delhi,2024-01-31,2025-08-19,5073,4.0,dsmith@yahoo.com,886-095-7311x27151,India
CUST0049,Tara Rodriguez,Male,27,Chennai,2023-06-28,,36938,1.0,jamiebennett@hotmail.com,+1-595-336-7396x8495,India
CUST0050,Kristin Thornton,Male,,Indore,2025-09-25,2024-05-28,9640,5.0,wrong_email.com,162-749-6312,
CUST0051,Patrick Bullock,Male,32 yrs,Delhi,2025-09-02,2026-02-22,,4.0,vflores@powell-arnold.com,626.863.1917,India
CUST0052,Victor Williams,Male,Age is 51 years,Pune,2025-01-29,2025-01-14,14402,2.0,lscott@fitzgerald-glass.com,12345,
CUST0053,Anna King,Male,,,2023-02-23,2025-10-22,,3.0,petersontiffany@martin.com,12345,Canada
CUST0054,Ms. Amy Grant,Male,Age is 33 years,Bhopal,2021-06-12,2025-05-16,,4.0,wrong_email.com,196-481-2744,India
CUST0055,Tyler Thomas,Other,Age is 49 years,Delhi,2022-02-01,2026-03-03,₹27270,,caldwellcourtney@riley-stephens.com,(698)459-9220,India
CUST0056,Tammy Ruiz,Other,Age is 26 years,Chennai,2024-04-24,2026-03-18,,,garyprice@trevino.org,(226)184-9449,USA
CUST0057,,Other,42,Pune,2022-05-22,,₹24809,4.0,wrong_email.com,384-021-9296x11014,
CUST0058,Gina Rodriguez,Other,58,Indore,2021-08-31,2025-05-03,₹13510,3.0,samanthacole@hines.com,(793)840-6471,USA
CUST0059,Johnathan Howard,Female,Age is 24 years,Pune,2023-12-20,2024-06-04,,4.0,timothylee@yahoo.com,1629697514,India
CUST0060,Stephanie Lyons,Female,21 yrs,Pune,2025-02-10,2024-05-10,17895,1.0,rmeyer@wood-smith.biz,001-478-622-3652,Canada
CUST0061,Ronnie Day,Female,Age is 58 years,,2026-01-18,2024-12-05,,5.0,belldawn@yahoo.com,462.401.6130x3640,India
CUST0062,Jose Palmer,Female,30 yrs,Delhi,2023-01-23,2024-08-17,45553,1.0,williamsgerald@hughes.biz,(649)701-8529,India
CUST0063,Janet Rodriguez,Male,18,,2021-05-14,2026-01-22,22350,3.0,rmiller@yahoo.com,607-507-3629,Canada
CUST0064,Larry Hunt,Male,Age is 40 years,Mumbai,2022-11-11,2025-07-04,40246,5.0,wrong_email.com,12345,UK
CUST0065,Darlene Logan,Female,60,Chennai,2023-07-31,2024-05-15,₹21149,,wrong_email.com,135.857.7864,Canada
CUST0066,Carolyn Mcintosh,Other,,,2024-06-03,2024-12-04,₹13433,3.0,morgan38@leblanc.com,(767)040-5896x433,Canada
CUST0067,Alexandra Rodriguez,Male,,,2023-09-04,2024-11-20,₹8153,3.0,hmichael@hebert.info,12345,Canada
CUST0068,Jose Long,Male,58 yrs,Bhopal,2021-07-17,2025-03-09,₹38271,2.0,colinlin@camacho-roberts.info,702.928.8515,India
CUST0069,Daniel Kim,Male,44,Pune,2024-11-07,2024-06-01,,5.0,guerravicki@hotmail.com,(581)077-5111x1187,
CUST0070,Olivia Brewer,Other,35 yrs,Bhopal,2023-03-17,,,1.0,martintheresa@gmail.com,(468)851-6985x07864,Canada
CUST0071,,Female,Age is 26 years,Indore,2021-12-06,2025-07-03,,4.0,kimlynn@yahoo.com,123-653-2499,USA
CUST0072,Faith Townsend,,36 yrs,,2023-09-16,2025-03-07,12238,2.0,baileymatthew@guzman.com,931.817.9075,UK
CUST0073,Shaun Chandler,Other,,,2023-11-10,2024-05-25,15629,3.0,xgordon@bell-james.com,706.852.7743x7234,India
CUST0074,Victoria Hughes,,,Indore,2024-10-08,2026-03-07,,4.0,hector71@smith.com,201.370.2563,USA
CUST0075,Ryan Wagner,Female,56 yrs,Pune,2023-01-15,2025-04-02,11554,1.0,robertsalinas@allen.net,12345,USA
CUST0076,Brian Martinez,Female,19,Chennai,2022-05-26,2024-09-08,,5.0,lroberts@gmail.com,962-049-4671x115,India
CUST0077,Shannon Taylor,Other,Age is 47 years,Pune,2024-03-14,2024-07-18,46148,2.0,wrong_email.com,+1-657-299-8619,USA
CUST0078,Michele Freeman,Female,38,Mumbai,2024-06-18,2025-01-30,,1.0,tnguyen@hotmail.com,+1-807-937-4783,USA
CUST0079,Brian Smith,Female,52,Indore,2021-12-09,2025-11-04,₹1394,2.0,kristen39@hotmail.com,(079)661-4534,UK
CUST0080,Kimberly Owen,Female,34 yrs,,2023-07-20,2025-08-14,₹13339,2.0,whitekimberly@johnson-li.biz,001-971-289-4373,Canada
CUST0081,Karla Baker,Other,Age is 60 years,,2026-01-13,2024-11-17,5672,3.0,wrong_email.com,001-373-370-8811x3544,USA
CUST0082,Mary Day,Male,,,2023-12-15,2025-09-18,₹1890,,timothy35@gmail.com,+1-155-120-3383x29689,
CUST0083,Elizabeth Gonzales,Female,Age is 26 years,,2026-03-27,2024-05-26,₹38887,2.0,dixoncindy@gmail.com,883.227.0876x916,
CUST0084,Tracy Velazquez,,,Delhi,2022-01-07,2026-03-02,7745,,wrong_email.com,+1-231-250-8828x2156,USA
CUST0085,Richard Hamilton,Male,30 yrs,Delhi,2023-09-16,2025-04-14,₹39734,3.0,kevinwillis@ali.net,155.718.8364x57470,USA
CUST0086,Cindy Armstrong,Male,,Mumbai,2025-06-11,,,2.0,maxwell19@gmail.com,12345,Canada
CUST0087,Joshua Lin,Male,30,Chennai,2022-08-31,,21655,4.0,tina37@yahoo.com,555-323-7740,UK
CUST0088,Debbie Williams,Male,35 yrs,Indore,2022-01-18,2024-07-01,21229,1.0,marcbrown@yahoo.com,398-488-7664x1521,UK
CUST0089,Stephen Ryan,,60 yrs,Mumbai,2025-08-06,2024-06-05,,2.0,kevinjohnson@gmail.com,+1-249-904-0448,India
CUST0090,Eric Marks,Male,60 yrs,Mumbai,2023-10-27,2025-01-17,₹25608,3.0,ysmith@elliott.org,560-356-3989,India
CUST0091,Jennifer Giles,Male,,Chennai,2025-07-09,2024-12-26,,,wrong_email.com,944.717.7483x752,
CUST0092,Sarah Gamble,Female,49,Chennai,2024-11-19,2025-05-02,14209,1.0,rickyblake@hotmail.com,+1-798-721-7234,India
CUST0093,John Gonzalez,Other,31 yrs,Chennai,2026-03-09,2024-11-04,,3.0,laura70@yahoo.com,(969)915-6896,India
CUST0094,Brian Turner,Female,59,Bhopal,2025-06-04,2024-12-22,₹29515,2.0,wrong_email.com,(274)054-6821x2088,Canada
CUST0095,Ashley Arnold,,18,Delhi,2022-11-10,2024-09-04,32083,4.0,kathychavez@quinn.biz,975.708.4504x741,USA
CUST0096,Gina Trujillo,Male,25,Indore,2025-01-30,,,3.0,thomasjanet@reyes.com,588-793-7642x769,
CUST0097,Joseph Smith,Female,,Pune,2025-08-05,2025-04-27,2470,3.0,richardjackson@nunez.org,219.225.2008x5235,
CUST0098,Daniel Lewis,Other,Age is 40 years,,2022-04-19,2025-01-04,30488,5.0,ymorris@hotmail.com,+1-382-794-6556,Canada
CUST0099,Donna Reyes,,31 yrs,,2022-05-24,2024-10-01,₹38587,3.0,brookscristian@reyes-meyer.net,(616)817-9095x92312,UK
CUST0100,John Barton,Female,Age is 30 years,,2025-10-15,,₹33373,3.0,vsalazar@horn.com,275-011-6739x72769,
CUST0101,Melissa Pierce,Other,Age is 34 years,,2024-10-21,2026-02-11,,,bradley50@mathis-sweeney.info,939-003-0556,India
CUST0102,Annette Ramirez,Female,,Delhi,2025-11-16,2025-07-09,22437,4.0,john26@yahoo.com,001-089-271-6608x399,Canada
CUST0103,Megan Peterson,,Age is 41 years,Delhi,2023-01-11,2026-01-29,38317,2.0,mitchelljulie@gmail.com,364-985-0333x474,Canada
CUST0104,Raven Cross,Other,Age is 34 years,Chennai,2024-07-11,2025-08-19,39038,1.0,fisherkelly@gomez.org,397.734.6377x07504,USA
CUST0105,William Williams,,29,,2025-04-05,2024-09-27,₹14476,2.0,amanda51@francis.com,12345,Canada
CUST0106,Laura Figueroa,Other,32,Mumbai,2022-12-15,2025-01-18,10330,,wrong_email.com,552.629.8120,
CUST0107,Jason Byrd,Male,,Mumbai,2022-06-08,2025-12-11,31202,1.0,ymays@gmail.com,117-871-8604x0582,Canada
CUST0108,Kathleen Thomas,,,Bhopal,2022-07-18,2025-12-06,₹35150,4.0,matthewhorton@ponce.com,371-124-4195x165,Canada
CUST0109,Steven Hunt,,32 yrs,Bhopal,2025-09-12,2025-03-31,33473,2.0,deancarolyn@patterson.com,+1-785-793-2493x54010,India
CUST0110,Rhonda Lee,Female,,Pune,2025-07-15,2025-05-15,₹22068,1.0,eric25@hotmail.com,436-439-9986x03009,
CUST0111,Jennifer Garrett,Female,Age is 50 years,Delhi,2024-05-26,2024-10-09,,4.0,wrong_email.com,+1-913-953-3027x63819,USA
CUST0112,Glenn Carroll,,48 yrs,Indore,2024-10-11,2025-05-25,37769,2.0,leewilliam@murphy.info,(703)165-0524x820,UK
CUST0113,Peter Garcia,Other,49 yrs,Indore,2022-08-08,2026-04-22,,3.0,samanthaochoa@hotmail.com,12345,USA
CUST0114,Maxwell Scott Jr.,Other,,Delhi,2025-07-22,2026-01-25,,1.0,stephensscott@jennings.net,827-581-5756,USA
CUST0115,Wayne Wagner,Female,35 yrs,,2023-01-29,2025-05-14,,1.0,jordan74@estrada.com,534.584.2787x1323,USA
CUST0116,,Male,59,,2023-03-21,2025-05-02,₹26047,3.0,fgordon@gmail.com,634.817.6563,USA
CUST0117,Katie Frazier,Male,40,Bhopal,2023-08-18,2024-09-29,35467,4.0,justin82@gmail.com,12345,India
CUST0118,Ms. Katherine Stone,Other,35 yrs,Pune,2022-11-13,2024-12-13,₹4839,4.0,xgibbs@yahoo.com,486-308-5888x12107,UK
CUST0119,Terry Moreno,Other,Age is 32 years,Bhopal,2023-02-25,2025-04-28,40692,5.0,jaclynkline@cox.net,+1-840-098-3155x58903,
CUST0120,Crystal Patterson,,,Delhi,2023-12-05,2024-11-27,,4.0,alexander70@gmail.com,2206004821,
CUST0121,Kaitlyn Lowery,Male,24,,2022-10-24,2025-06-06,27984,4.0,wrong_email.com,432.390.3881x466,
CUST0122,Steven Duke,,Age is 30 years,Indore,2024-05-18,,16934,,thomasthomas@flores-wade.info,713-053-9549,
CUST0123,Kimberly Small,Female,43 yrs,Indore,2025-08-08,2025-10-14,₹13211,3.0,amandamorgan@adams-lewis.info,692-126-2951,
CUST0124,Ashley Taylor,Male,40 yrs,Mumbai,2021-05-31,2025-11-24,39576,5.0,todd37@jackson-miles.biz,100.551.4184x565,UK
CUST0125,Nicholas Fitzgerald,Female,Age is 45 years,Pune,2022-12-16,2025-02-16,36809,2.0,kimberly59@martinez.net,12345,India
CUST0126,Dennis Singh,Other,Age is 36 years,,2023-10-15,2024-07-22,8373,5.0,ysanchez@bailey-hamilton.com,+1-862-637-6722x142,
CUST0127,James Stephens,Male,59 yrs,Mumbai,2021-07-20,2025-12-29,45908,4.0,turneramanda@hotmail.com,(181)187-7586x14099,UK
CUST0128,Martin Norton,Male,22 yrs,Pune,2025-07-04,2025-02-14,,,joneskristen@jones.info,300.157.7836,USA
CUST0129,Lisa Diaz,Male,20 yrs,Chennai,2022-10-14,2025-06-28,₹13917,1.0,anna66@gmail.com,671.869.4735,USA
CUST0130,Joshua Martinez,Male,Age is 45 years,,2022-07-05,2026-04-21,8604,4.0,jerry05@crawford-miller.com,(806)360-1666x12838,India
CUST0131,William Parsons,Other,33,Chennai,2023-09-25,2026-01-18,₹16851,1.0,jasmincox@gmail.com,417.415.8438x8832,
CUST0132,Brian Wright,Other,35,Bhopal,2024-09-11,2025-02-17,₹10000,1.0,jennifer34@yahoo.com,12345,USA
CUST0133,Melissa Parrish,Other,39 yrs,,2025-06-01,2025-11-23,₹32314,,rojasedward@hotmail.com,001-133-546-8801,USA
CUST0134,Nathan Gutierrez,,23 yrs,,2022-03-21,2024-07-10,,5.0,gibsonmindy@yahoo.com,(342)076-8786,Canada
CUST0135,Carl Daniels,Male,Age is 18 years,Delhi,2025-03-24,2026-04-11,,1.0,jessicaknight@levine.net,+1-775-645-1837x689,
CUST0136,Jeremy Hancock,Other,51,Mumbai,2021-09-04,,29996,4.0,mathewyang@gmail.com,001-993-041-0322x07668,
CUST0137,Shawna Garcia,,,Delhi,2021-06-11,2024-05-26,₹47313,3.0,shawpatrick@gmail.com,471-725-1123x069,India
CUST0138,Christopher Sloan,Male,,Mumbai,2022-12-08,2025-04-07,17031,3.0,ejackson@preston.net,001-502-033-4652x65131,Canada
CUST0139,Brian Park,Male,19,Bhopal,2022-12-22,2025-11-07,,,mbaker@malone-smith.biz,001-607-561-8900x2322,USA
CUST0140,Stacey Hickman,Female,42,Chennai,2025-12-16,2026-02-22,₹38503,2.0,madisonpeck@hotmail.com,+1-525-704-4062x83489,Canada
CUST0141,Beth Santiago,Female,37 yrs,Bhopal,2024-01-22,2024-05-23,₹2359,3.0,kristenfields@james-obrien.biz,001-218-543-1616x066,Canada
CUST0142,Amanda Peters,Other,,Chennai,2023-10-15,2026-04-25,,3.0,leedebra@castro.com,(916)751-6015,Canada
CUST0143,Christopher Miller,Other,,Mumbai,2023-01-06,2024-12-03,,3.0,levyjohn@hernandez.com,778-799-1327x3322,
CUST0144,Brandy Brewer,,Age is 18 years,Chennai,2026-02-21,2024-09-20,,2.0,vglover@gmail.com,098-225-7253,Canada
CUST0145,,Female,25,,2024-02-20,2025-10-26,,1.0,thomasowen@gmail.com,335.143.2621x220,Canada
CUST0146,Melissa Dunlap,Other,Age is 39 years,Pune,2022-05-12,2026-05-05,₹30599,1.0,pruiz@yahoo.com,9054396274,Canada
CUST0147,Stacey Stevens,Other,Age is 51 years,Pune,2021-05-13,2025-06-08,48301,3.0,richardsonbrian@clark-leach.com,+1-885-495-3268,India
CUST0148,Daniel Brown,,Age is 49 years,Indore,2023-11-03,2025-01-18,16657,3.0,dowen@yahoo.com,+1-960-718-2571x876,UK
CUST0149,Melissa Cox,,,Pune,2023-02-25,,,4.0,roseeric@olson.com,(846)225-6591x125,
CUST0150,Timothy Fuller,Female,51,,2025-09-15,2024-08-16,1453,1.0,gregorytony@hotmail.com,(439)181-0199,UK
CUST0151,Dr. Tom Baker Jr.,Other,52,Bhopal,2025-08-22,2025-01-09,₹29869,3.0,erikagomez@rowe.info,(348)319-8138,UK
CUST0152,Scott Moran,Female,42,Indore,2022-12-19,2024-06-27,₹25367,5.0,abrooks@humphrey-jensen.org,459-303-2774x7019,India
CUST0153,Michael Johnston,,50,Chennai,2023-12-07,2025-05-06,,2.0,sandrasanders@mack.com,733-501-5641,
CUST0154,Travis Heath,Male,55,Indore,2025-11-14,2025-12-09,4219,5.0,tamaracooper@hotmail.com,+1-593-804-3307x46478,Canada
CUST0155,Kathleen Gonzales,,57,,2024-05-05,2026-02-22,19412,,wrong_email.com,(440)976-9174,
CUST0156,Jasmine Howell,Female,48,,2021-10-29,2025-05-21,47194,4.0,williamsrebecca@hotmail.com,9137270951,UK
CUST0157,Megan Shields,Male,23 yrs,Mumbai,2023-11-18,2025-02-03,₹6988,3.0,john84@morgan.com,441.684.7550x27514,
CUST0158,Rachel Cervantes,Female,Age is 50 years,Delhi,2022-08-05,2025-07-05,₹46422,3.0,youngkathleen@gray-ortega.com,012-233-4777x5384,USA
CUST0159,Juan Craig,Female,33 yrs,Chennai,2026-01-21,2024-10-04,₹7920,4.0,mariathomas@jacobs.com,(781)779-4223,India
CUST0160,David Taylor,Female,36 yrs,Bhopal,2023-01-15,2024-10-22,₹21498,5.0,lburnett@allen-case.com,001-612-515-2966x434,Canada
CUST0161,Curtis Stuart,Female,,Bhopal,2023-03-17,2024-08-16,₹13809,5.0,vickimacias@gmail.com,12345,USA
CUST0162,Chris Grant,Male,Age is 53 years,Delhi,2022-11-23,2025-09-23,,,johnstonrebecca@wright-vasquez.com,489-713-0832x3787,UK
CUST0163,Elizabeth Montes,Female,36 yrs,Pune,2022-10-02,2025-04-23,32891,1.0,fcampbell@johnson-guerrero.org,713-567-9388x3954,
CUST0164,Francisco Davis,Male,59,Indore,2021-05-30,2024-11-10,₹33019,5.0,christopher17@yahoo.com,(737)366-2661x2692,USA
CUST0165,Travis Romero,Male,40,,2023-03-08,2024-08-20,3620,4.0,ibarron@gmail.com,12345,USA
CUST0166,Mary Lewis,Other,Age is 43 years,Mumbai,2023-09-13,,34056,5.0,johnsonalexandra@rios-carroll.com,231.995.6442x10849,India
CUST0167,Emma Ortiz,Male,51 yrs,Chennai,2022-04-16,2025-08-07,₹22513,5.0,adamflores@gmail.com,713-554-3504,Canada
CUST0168,Stanley Moore,Male,31 yrs,Indore,2022-04-05,2025-03-19,₹1380,,nturner@hotmail.com,631.624.1846,USA
CUST0169,Annette Allen,,,Chennai,2023-06-23,2024-11-15,49074,4.0,ggonzales@yahoo.com,12345,Canada
CUST0170,Robert Rangel,Female,,,2024-01-31,2024-09-03,,4.0,michaelmorris@leblanc.net,(603)938-0366x9677,UK
CUST0171,Michael Monroe,,46,Delhi,2023-06-08,2025-05-16,,2.0,ysolis@arnold.info,+1-574-464-3314x1146,
CUST0172,Michelle Davis,Female,Age is 36 years,Bhopal,2022-05-10,2025-04-27,21631,3.0,ubray@gmail.com,12345,UK
CUST0173,John Francis,Female,52 yrs,,2022-02-26,2024-11-16,4390,3.0,npatel@osborn.biz,(734)997-8822x1203,USA
CUST0174,Patrick Lawson,Male,36,Indore,2025-04-25,,₹47886,3.0,huertalogan@mathews-sloan.com,001-186-495-3613x01166,UK
CUST0175,Richard Oneill,Male,31 yrs,Mumbai,2025-08-15,2025-09-26,,1.0,martindavid@rodriguez.net,001-479-933-3268x1907,USA
CUST0176,Joseph Porter,,Age is 45 years,Delhi,2023-08-05,2025-08-23,,3.0,jasongates@yahoo.com,12345,Canada
CUST0177,Billy Barnes,,,Bhopal,2023-02-25,2024-10-24,,4.0,wrong_email.com,557.033.2694,
CUST0178,Elizabeth Gay,Female,,Bhopal,2023-03-08,2026-02-12,,3.0,amanda24@allen.com,979-235-2824x64800,UK
CUST0179,Sarah Davis,,Age is 54 years,Mumbai,2023-11-06,,,,wrong_email.com,(844)122-7002x394,UK
CUST0180,Linda Robertson,Male,,Bhopal,2023-11-12,2025-01-06,₹13202,3.0,oharvey@gmail.com,439-424-7094,India
CUST0181,Heather Long,Other,,Bhopal,2026-01-09,2025-07-06,,5.0,wrong_email.com,+1-772-446-4259x98090,UK
CUST0182,Juan Patel,Female,,Indore,2021-05-10,2025-03-09,37207,2.0,robinsontammy@williams-sanders.info,370.681.2080x73412,Canada
CUST0183,Jonathon Martinez,Female,60 yrs,Chennai,2025-08-21,2024-05-06,,2.0,dunnjessica@goodwin-mccarthy.net,001-840-267-2442,Canada
CUST0184,Todd Murray,Male,Age is 23 years,Delhi,2024-05-02,2026-01-17,,5.0,kathleengonzalez@gmail.com,001-669-946-8356x54916,UK
CUST0185,Gregory Fields,,42 yrs,Bhopal,2022-07-15,2025-01-13,₹7583,2.0,brownalexandra@hotmail.com,001-861-045-4074x6061,UK
CUST0186,Thomas Stewart,Other,,Indore,2024-12-16,2026-05-01,13326,1.0,norman79@yahoo.com,001-784-301-3515,
CUST0187,Mary Snyder,Female,Age is 57 years,Indore,2025-11-30,2025-10-18,₹16344,5.0,emiller@young.com,001-009-832-6321,USA
CUST0188,Emily Prince,Other,Age is 38 years,Indore,2021-12-08,2025-07-17,₹34934,4.0,wrong_email.com,001-515-717-7724,
CUST0189,Ashley Simmons,Male,19,Mumbai,2024-08-27,2026-03-11,3655,3.0,hughesbrian@gmail.com,(967)996-9702,UK
CUST0190,Sarah Jenkins,,54,Mumbai,2023-01-29,2026-03-06,,5.0,martinezjeremiah@jones.net,001-216-234-7460,USA
CUST0191,Jay Christian,Female,,Indore,2023-10-28,2025-11-03,,2.0,natashacannon@castro.com,12345,UK
CUST0192,Katelyn Bush,,31,,2021-08-24,,,5.0,aprilvelasquez@hotmail.com,+1-454-986-4801x36700,Canada
CUST0193,Cindy Holmes,Other,31 yrs,Delhi,2023-10-19,2026-04-26,25842,,christina04@mendez.biz,844.627.2029,India
CUST0194,Jason Ramirez,,53,Mumbai,2022-07-25,2025-04-12,,2.0,john14@wiggins.biz,4889871484,
CUST0195,Jasmine Blake,,26,Pune,2025-12-10,2025-08-03,3477,2.0,codyrichmond@hotmail.com,+1-338-580-4966x9587,India
CUST0196,Erin Robinson,Female,Age is 51 years,Mumbai,2025-12-19,2025-08-10,,5.0,marysmith@gmail.com,(836)943-1987,Canada
CUST0197,Mr. Steve Garcia,,18,Bhopal,2021-09-25,2024-11-01,₹12454,3.0,crodriguez@taylor.com,750.671.0988,
CUST0198,Brian Kelly,Male,57,Mumbai,2023-11-15,2025-04-13,₹44769,1.0,douglasshort@hotmail.com,001-255-333-7796x6667,Canada
CUST0199,Cassandra Dean,Male,42,,2022-04-05,2026-02-10,5985,4.0,sarahfrazier@gmail.com,+1-552-574-6972x18400,UK
CUST0200,Joshua Brown,,21,Bhopal,2023-12-23,2024-08-10,2175,4.0,ravenrosario@gmail.com,575-039-1974x90580,India
CUST0201,,Other,36 yrs,Delhi,2022-07-15,,29215,,wrong_email.com,12345,Canada
